Sub-Category,Control Objective,Control description,Questions to ask,Pass/ Fail,Comments
Asset Management,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to business objectives and the organization’s risk strategy.",Physical devices and systems within the organization are inventoried.,"1. Do you an up to date CMDB or asset inventory of all physical (hardware) device? 
2. How you perform periodic review on the CMDB to ensure that it's accurate and up to date?",Pass,CMDB Needs periodic reviews.
,,Software platforms and applications within the organization are inventoried.,"1. Do you an up to date CMDB or asset inventory of all software assets such as critical applications? 
2. How you perform periodic review on the CMDB to ensure that it's accurate and up to date?",Fail,"SaaS applications should be added to CMDB, they should be classified as per sensitivity and criticality. "
,,Organizational communication and data flows are mapped.,"1.Do you have clear, up to date, network diagrams - including the cloud environment?",Pass,
,,External information systems are catalogued.,"1. Does your CMDB include Software-as-a-Service (SaaS) instance catalogued and classified as per sensitivity and criticality?

2. Do you have an up to date inventory of all third party suppliers?",Fail,SaaS applications are used but not catalogued in the CMDB or classified by sensitivity or criticality. No third-party risk management or supplier inventory process is in place; vendors are not centrally tracked by IT or security.
,,"Resources (e.g., hardware, devices, data and software) are prioritized based on their classification, criticality and business value.",1. Are assets in the CMDB classified based on sensitivity and criticality?,Fail,No CMDB or asset classification in place.
,,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established.","1. Are cyber security roles and responsibilities defined? 
2. Is there a clear information security policy outlining roles and responsibilities for cyber security (including third part suppliers) ?",Fail,Roles and responsibilities are not defined; cyber security tasks are assigned to IT staff. No formal information security policy exists.
Business Environment,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",The organization’s role in the supply chain is identified and communicated.,"1. Does the organisation have clear documentation outlining their role within their own supply chain when it comes to cyber security? This is accomplished by having a clear mapping of third party suppliers, classifying suppliers based on criticality and sensitivity. ",Fail,No supplier mapping or classification process exists; supply chain cyber roles are undocumented.
,,The organization’s place in critical infrastructure and its industry sector is identified and communicated.,"1. Is this organisation considered 'critical infrastructure' ? Examples of this will include intelligence agencies, national communication organisations, transportation, etc. These are organisations that are part of 'national security'. If the answer is YES, then this needs to be documented in the information security policy and communicated clearly to senior stakeholders.",N/A,Oscorp is not a critical infrastructure organisation
,,"Priorities for organizational mission, objectives and activities are established and communicated.",The organisation has a clear business strategy and mission statement.,Pass,
,,Dependencies and critical functions for delivery of critical services are established.,"1. Does the organisation have key critical services and applications inventories and classified?

2. Does the organisation have business continuity plans and disaster recovery plans for key critical services?",Fail,No inventory or classification (critical and sensitivity) of critical services and applications exists. The organisation should have a clear list of their key critical assets at minimum.
